GAME_ID,POSSESSION_ID,PERIOD,START_CLOCK,END_CLOCK,EVENTS,ACTION_TYPES,EVENT_LIST,TEAM,team,TEAM_ID,PLAYER_ID,PLAYER_NAME,HOME_SCORE,AWAY_SCORE,FIRST_SHOT_RESULT,FIRST_SHOT_VALUE,FIRST_SHOT_SUBTYPE,FIRST_SHOT_PLAYER,FIRST_SHOT_X_LEGACY,FIRST_SHOT_Y_LEGACY,FIRST_SHOT_DISTANCE,FIRST_SHOT_SECONDS,POSS_LENGTH,TIME_UNTIL_FIRST_SHOT,SHOT_TIME_FOR_ANALYSIS,TWO_FOR_ONE_ATTEMPT,NO_TWO_FOR_ONE_ATTEMPT,POSS_PTS,FREE_THROW_PTS,TWO_FOR_ONE_SECOND_POSSESSION?,NON_TWO_FOR_ONE_SECOND_POSSESSION?,SECOND_POSSESSION_PTS,SECOND_POSSESSION_SHOT_RESULT,SECOND_POSSESSION_SHOT_SECONDS,TWO_FOR_ONE_SECOND_POSSESSION_PTS,TOTAL_PTS_ON_ALL_2FOR1_POSS,TEAM_ABBREV,logo,Player,Images
0022500689,145,3,PT00M34.20S,PT00M21.20S,2,"Rebound, Missed Shot",Gonzalez REBOUND (Off:1 Def:2) | MISS Walsh 26' 3PT Jump Shot,BOS,Boston Celtics,1610612738,1641775,J. Walsh,89,64,Missed,3.0,Jump Shot,J. Walsh,142.0,216.0,26.0,21.0,13.0,13.0,13.0,0,1,0.0,0,,0.0,,,,0.0,0.0,BOS,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,Jordan Walsh,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
0022500691,210,4,PT00M38.70S,PT00M34.20S,2,"Rebound, Made Shot",Coward REBOUND (Off:1 Def:4) | Coward 2' Running Finger Roll Layup (13 PTS),MEM,Memphis Grizzlies,1610612763,1642907,C. Coward,112,106,Made,2.0,Running Finger Roll Layup Shot,C. Coward,-9.0,17.0,2.0,34.0,5.0,5.0,5.0,1,0,2.0,0,1.0,,0.0,Missed,22.0,0.0,2.0,MEM,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,Cedric Coward,https://cdn.nba.com/headshots/nba/latest/1040x760/1642907.png
0022500692,186,3,PT00M34.50S,PT00M29.10S,2,"Steal, Missed Shot",Jovic STEAL (1 STL) | MISS Smith 3PT Running Jump Shot,MIA,Miami Heat,1610612748,1630696,D. Smith,84,91,Missed,3.0,Running Jump Shot,D. Smith,-233.0,-12.0,0.0,29.0,5.0,5.0,5.0,1,0,0.0,0,0.0,,,,,0.0,0.0,MIA,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Dru Smith,https://cdn.nba.com/headshots/nba/latest/1040x760/1630696.png
0022500692,244,4,PT00M39.10S,PT00M37.60S,2,"Timeout, Missed Shot",HEAT Timeout: Regular (Full 6 Short 0) | MISS Adebayo 26' 3PT Jump Shot,MIA,Miami Heat,1610612748,1628389,B. Adebayo,116,121,Missed,3.0,Jump Shot,B. Adebayo,22.0,255.0,26.0,38.0,1.0,1.0,1.0,1,0,0.0,0,1.0,,0.0,Missed,32.0,0.0,0.0,MIA,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Bam Adebayo,https://cdn.nba.com/headshots/nba/latest/1040x760/1628389.png
0022500692,245,4,PT00M34.60S,PT00M32.20S,4,"Rebound, Timeout, Instant Replay, Missed Shot",HEAT Rebound | HEAT Timeout: Regular (Full 7 Short 0) | Instant Replay4th Period (10:35 PM EST) | MISS Larsson 3PT Jump Shot,MIA,Miami Heat,1610612748,1641796,P. Larsson,116,121,Missed,3.0,Jump Shot,P. Larsson,229.0,52.0,0.0,32.0,3.0,3.0,3.0,1,0,0.0,0,1.0,,0.0,Missed,25.0,0.0,0.0,MIA,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Pelle Larsson,https://cdn.nba.com/headshots/nba/latest/1040x760/1641796.png
0022500698,52,1,PT00M38.40S,PT00M35.40S,2,"Rebound, Missed Shot",Kispert REBOUND (Off:0 Def:2) | MISS McCollum 28' 3PT Running Pull-Up Jump Shot,ATL,Atlanta Hawks,1610612737,203468,C. McCollum,33,39,Missed,3.0,Running Pull-Up Jump Shot,C. McCollum,-172.0,224.0,28.0,35.0,3.0,3.0,3.0,1,0,0.0,0,1.0,,0.0,Missed,0.0,0.0,0.0,ATL,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,CJ McCollum,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
0022500698,53,1,PT00M35.40S,PT00M12.70S,2,"Rebound, Made Shot",Mathurin REBOUND (Off:1 Def:1) | McConnell 7' Fadeaway Jumper (2 PTS),IND,Indiana Pacers,1610612754,204456,T. McConnell,35,39,Made,2.0,Fadeaway Jump Shot,T. McConnell,-42.0,59.0,7.0,13.0,22.0,22.0,22.0,0,1,2.0,0,,0.0,,,,0.0,2.0,IND,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,T.J. McConnell,https://cdn.nba.com/headshots/nba/latest/1040x760/204456.png
0022500698,172,3,PT00M40.40S,PT00M22.30S,2,"Rebound, Made Shot",McCollum REBOUND (Off:0 Def:4) | McCollum 26' 3PT Pullup Jump Shot (14 PTS),ATL,Atlanta Hawks,1610612737,203468,C. McCollum,101,100,Made,3.0,Pullup Jump shot,C. McCollum,25.0,263.0,26.0,22.0,18.0,18.0,18.0,0,1,3.0,0,,0.0,,,,0.0,3.0,ATL,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,CJ McCollum,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
0022500701,51,1,PT00M37.00S,PT00M37.00S,1,Made Shot,Williams 5' Driving Finger Roll Layup (12 PTS),DAL,Dallas Mavericks,1610612742,1630314,B. Williams,28,27,Made,2.0,Driving Finger Roll Layup Shot,B. Williams,-43.0,26.0,5.0,37.0,3.0,0.0,3.0,1,0,2.0,0,1.0,,1.0,,,1.0,3.0,DAL,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,Brandon Williams,https://cdn.nba.com/headshots/nba/latest/1040x760/1585.png
0022500701,102,2,PT00M33.80S,PT00M33.80S,1,Made Shot,Smith Jr. 3' Alley Oop Dunk (13 PTS) (Thompson 6 AST),HOU,Houston Rockets,1610612745,1631095,J. Smith Jr.,56,51,Made,2.0,Alley Oop Dunk Shot,J. Smith Jr.,25.0,22.0,3.0,34.0,4.0,0.0,4.0,1,0,2.0,0,1.0,,3.0,Made,6.0,3.0,5.0,HOU,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Jabari Smith Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1631095.png
